figure_id,title,phase,paper_section,evidence_status,source_data,generator,png_path,png_sha256,png_bytes,svg_path,svg_sha256,svg_bytes,caption,claim_boundary,campaign_source_commit,reporting_source_commit,accepted_d007_candidate_commit,reporting_module_sha256,reporting_script_sha256,figure_generator_sha256
RFIG-001,Research governance timeline through Gate 5,governance,Methods: governance,accepted_decision_record,data/processed/reporting/gate_timeline.csv,scripts/make_research_figures.py,artifacts/research_figures/gate_decision_timeline.png,a10bc159f8bbdef2ddd8ab83c903df22a2093303af2ec7722872c77f17e8b2c9,121553,artifacts/research_figures/gate_decision_timeline.svg,fd3b8c30149e49a4394a33069b20e0b20f7dd87a8e791ef47e898946f008ef18,66792,"Human decisions closed Gates 0-5 by 2026-07-13; Gate 5 closed as a preregistered technical FAIL, while Gate 6 remains unopened.",Decision-state evidence only; the FAIL applies to the preregistered development benchmark and is not a universal claim about QML.,,,,,,
RFIG-002,Pre-D003 F0 payload conformance failure,Gate 5 generator repair,Supplement: failed methods,invalid_failed_attempt,data/processed/simulator/scenarios/pre_d003_audit.csv,scripts/make_research_figures.py,artifacts/research_figures/pre_d003_payload_conformance.png,8a0cffceb7da1a9835678220e22a7c9c3a7043d05e7fbdcc09db8310f1235f26,117924,artifacts/research_figures/pre_d003_payload_conformance.svg,b7748aa48ecef2f7ee10d9908b7198ed60e59d729de2ae4ff34bdfd1615bd838,71674,All pre-D003 F0 rows failed the frozen schema; non-U0 groups also used non-frozen uncertainty scales.,Diagnostic evidence only; prohibited as model-performance evidence.,,,,,,
RFIG-003,Pre-D003 F0 feasibility coverage,Gate 5 generator repair,Supplement: failed methods,invalid_failed_attempt,data/processed/simulator/scenarios/pre_d003_audit.csv,scripts/make_research_figures.py,artifacts/research_figures/pre_d003_feasibility_coverage.png,36e8a735d71e9fc8f901ee6eb9b6501d7b5053cfc9ce5347537245332c054f35,105967,artifacts/research_figures/pre_d003_feasibility_coverage.svg,f365e2e89d8edaa45c443c299ddee26b832fabbaa64ac9e96b48b59cb6589fdd,65502,The invalid generator produced sparse feasible candidates and no feasible reference in most decision sets.,Diagnostic evidence only; rates cannot support a benchmark claim.,,,,,,
RFIG-004,Pre-D003 F0 generation runtime,computational methodology,Methods: compute,invalid_workload_timing,data/processed/simulator/scenarios/generation_ledger.csv,scripts/make_research_figures.py,artifacts/research_figures/pre_d003_generation_runtime.png,1fc11e93d603d20d944f8fd9c4763fcb427041416462048d0236f61313b22023,96830,artifacts/research_figures/pre_d003_generation_runtime.svg,bbc3a97f0c060b48e88e6ce70dbf9b3c20fdf3643f80b9c67a4af6f40fec6a12,44536,Observed F0 attempt runtime by group on the reference laptop before generator repair.,Hardware timing for an invalid workload; retained only for scheduling and audit.,,,,,,
RFIG-005,F0 G01 pre/post D003 qualification audit,Gate 5 generator repair,Methods: generator qualification,repair_validation_development,data/processed/simulator/scenarios/pre_d003_audit.csv;data/processed/simulator/scenarios/post_d003_g01_audit.csv,scripts/make_research_figures.py,artifacts/research_figures/d003_g01_pre_post_audit.png,f9a9132d457e75be3ba8b2c01e17a2db78fd8cae89fa7044a4f3e641f1bd92db,134783,artifacts/research_figures/d003_g01_pre_post_audit.svg,c3c1915d4cc5ec424def981926d2a494933754a5cbb915914a5aa8eacc7f69d0,65873,The first D003-v1 checkpoint removed all G01 schema and relationship errors and restored a feasible reference in every decision set.,Development qualification only; G01 is nominal U0 and does not establish all-family or higher-fidelity validity.,,,,,,
RFIG-006,F0 G01 pre/post D003 runtime,computational methodology,Methods: compute,repair_validation_development,data/processed/simulator/scenarios/generation_ledger.csv;data/processed/simulator/scenarios/generation_ledger_v2.csv,scripts/make_research_figures.py,artifacts/research_figures/d003_g01_pre_post_runtime.png,f78acbe2272eead88d1e7df1de2a6acd67da5ea83f995a3f84353791dca66c4e,117753,artifacts/research_figures/d003_g01_pre_post_runtime.svg,ec791a43143917cc6f86626622d88de68b11bc5ee1bdba88e31f0afff11b3cd4,63899,The corrected 500-row G01 run completed in 55.9 seconds on the reference laptop versus 46.2 seconds for the latest invalid attempt.,Single-group wall time; the workloads differ and this is not a speed benchmark.,,,,,,
RFIG-007,All F0 pre/post D003 conformance,Gate 5 generator repair,Methods: generator qualification,repair_validation_development,data/processed/simulator/scenarios/pre_d003_audit.csv;data/processed/simulator/scenarios/post_d003_f0_audit.csv,scripts/make_research_figures.py,artifacts/research_figures/d003_f0_pre_post_conformance.png,1e28e7173801829a1662146dc404a041ae10c91f8891a465b79eebf9a54af7c5,145916,artifacts/research_figures/d003_f0_pre_post_conformance.svg,b075736c240c22dfc75d955bc1f6466086340d93f853f77748baf5de201a4005,68303,"D003-v1 removed all recorded schema, relationship, and uncertainty-conformance failures across the 7,000 unlocked F0 rows.",Conformance evidence only; this does not establish model performance or higher-fidelity validity.,,,,,,
RFIG-008,Valid D003-v1 F0 feasibility coverage,Gate 5 scenario generation,Methods: scenario coverage,development_and_calibration_diagnostic,data/processed/simulator/scenarios/post_d003_f0_audit.csv,scripts/make_research_figures.py,artifacts/research_figures/d003_f0_feasibility_coverage.png,3e68879764b5959820a51b1b9c7e6121ca79ae2fab96229c722a402da673f8aa,126176,artifacts/research_figures/d003_f0_feasibility_coverage.svg,ed318e54b598ac3ec49cf9478186716c3b3495ef05c65fec47784df0a6fd2ae2,60845,"Across valid F0 payloads, 2,339 of 7,000 candidates are feasible and 319 of 1,400 decision sets have no feasible numerical reference.",Development/calibration diagnostic only; calibration groups are shaded and cannot support model selection.,,,,,,
RFIG-009,D003-v1 F0 generation runtime,computational methodology,Methods: compute,repair_validation_development,data/processed/simulator/scenarios/generation_ledger_v2.csv,scripts/make_research_figures.py,artifacts/research_figures/d003_f0_generation_runtime.png,1c2fb35c98fba154f8380398d5bd7f66399c5e9d56a60d6c48a46761147e606b,105777,artifacts/research_figures/d003_f0_generation_runtime.svg,cca611dc0d2f9e6a04cd95d4a3601149fda61cd6c90ba12637fd83c6600a2fe8,48385,"The 14 corrected F0 groups required 542.1 seconds of measured group work on the reference laptop, with 16.4-56.7 seconds per 500 rows.",Serial local wall time for F0 only; it is not a projection of F1/F2 cost.,,,,,,
RFIG-011,Valid D003-v1 F1 feasibility coverage,Gate 5 scenario generation,Methods: scenario coverage,development_and_calibration_diagnostic,data/processed/simulator/scenarios/post_d003_f1_audit.csv,scripts/make_research_figures.py,artifacts/research_figures/d003_f1_feasibility_coverage.png,c50310bfbb177855d80880a772af925237fbab511c757553188231560d523451,165197,artifacts/research_figures/d003_f1_feasibility_coverage.svg,ad32026e7d392933fc95b48f7983d8827daa7735b3c4e9db94daf327bd284bf7,71233,"All 35,000 F1 rows pass strict audit; 6,436 candidates are feasible and 4,215 of 7,000 decision sets have no feasible numerical reference.",Development/calibration coverage diagnostic only; calibration groups are marked and cannot support model fitting or selection.,,,,,,
